date,price_mean,price_min,price_max,price_std,observations
2000-01-11,9.221638826944444,4.9499998,37.0,2.4200383200680786,360
2000-01-12,9.242740050847457,4.9499998,37.0,2.467106373704941,354
2001-01-01,9.280762647740113,4.9499998,37.0,2.4908569044277717,354
2001-01-02,9.366905375071633,4.9499998,37.0,2.503939361103203,349
2001-01-03,9.397550364841498,4.9499998,37.0,2.513892065961246,347
2001-01-04,9.390816257725948,4.9499998,37.0,2.560125649628606,343
2001-01-05,9.45629730612245,4.9499998,37.0,2.5680808647954274,343
2001-01-06,9.499237464222874,4.9499998,37.0,2.6404145471719556,341
2001-01-07,9.452514719526627,4.9499998,20.950001,2.170285032735074,338
2001-01-08,9.599080040949556,3.5,37.0,2.720604171202581,337
2001-01-09,9.623252936144578,3.5,37.0,2.7470200933065723,332
2001-01-10,9.656142361127596,4.9499998,37.0,2.755922097375536,337
2001-01-11,9.623615087172011,4.9499998,37.0,2.725950529876734,343
2001-01-12,9.595924778323699,3.5,23.57,2.345509671120073,346
2002-01-01,9.666195890778097,3.5,37.0,2.71294254845929,347
2002-01-02,9.386281617464789,4.9499998,19.799999,2.083551479750754,355
2002-01-03,9.430085643142856,4.29,19.799999,2.0605164729818015,350
2002-01-04,9.47541892178771,4.29,19.799999,2.072340664840178,358
2002-01-05,9.462768280790959,4.29,19.799999,2.0587312246966825,354
2002-01-06,9.476721230601093,4.4899998,19.799999,2.0950979318292706,366
2002-01-07,9.517099366850829,4.4899998,19.799999,2.1099010042658293,362
2002-01-08,9.534944674309392,4.4899998,19.799999,2.0687502641473774,362
2002-01-09,9.539731107526881,4.4899998,19.799999,2.0931839129150465,372
2002-01-10,9.575994404143646,4.9499998,19.799999,2.0641563895066017,362
2002-01-11,9.617664767582417,4.9499998,19.799999,2.0678049884320804,364
2002-01-12,9.660809990502793,4.9499998,19.799999,2.1289558258325947,358
2003-01-01,9.71883001977716,4.9499998,21.25,2.2396985369840516,359
2003-01-02,9.628485655428571,4.9899998,19.799999,2.2980276274858458,350
2003-01-03,9.64314279742857,4.9899998,19.799999,2.299684890387998,350
2003-01-04,9.721117590882352,4.9899998,19.799999,2.3242838889615425,340
2003-01-05,9.725870728089888,4.9899998,19.799999,2.311885558350198,356
2003-01-06,9.736853875,4.9899998,19.950001,2.3470298374499463,356
2003-01-07,9.794763178830083,4.9899998,19.950001,2.4350333074040122,359
2003-01-08,9.77385910394366,4.9899998,19.950001,2.3845559176559155,355
2003-01-09,9.7883933033241,4.9899998,19.950001,2.4501286445408326,361
2003-01-10,9.871111064722223,4.9899998,19.950001,2.473629848380419,360
2003-01-11,9.85409209701897,4.9899998,19.950001,2.40146151457691,369
2003-01-12,9.920160381283424,4.9899998,19.950001,2.453134045393777,374
2004-01-01,9.86013545311653,4.9899998,19.950001,2.499762795471674,369
2004-01-02,9.820054002432434,4.9899998,19.950001,2.5766251096507817,370
2004-01-03,9.792383509589042,4.9899998,22.0,2.4999546575854907,365
